episode: 1, reward: -98.63363172970308
episode: 2, reward: -87.12186716777687
episode: 3, reward: -99.45706192754086
episode: 4, reward: -85.76435092622287
episode: 5, reward: -81.73845429082667
episode: 6, reward: -84.14878780302055
episode: 7, reward: -85.76181009614102
episode: 8, reward: -116.95884124493163
episode: 9, reward: -104.27529143510387
episode: 10, reward: -100.40438216389471
episode: 11, reward: -101.6055160292165
episode: 12, reward: -119.00740266944716
episode: 13, reward: -101.18943352039896
episode: 14, reward: -102.75918383248771
episode: 15, reward: -122.65028094047867
